Tue Aug  4 11:12:12 2020
Program 4: 60s Stillstand
{'Time': 9644, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 6.18, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 1141}
{'Time': 12151, 'Left_wheel_dist': -21, 'Right_wheel_dist': -21, 'IMU_roll': -0.01, 'IMU_pitch': -0.04, 'IMU_yaw': 6.13, 'IMU_Acc_x': -0.58, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.83, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 12251, 'Left_wheel_dist': -41, 'Right_wheel_dist': -39, 'IMU_roll': -0.01, 'IMU_pitch': -0.04, 'IMU_yaw': 6.13, 'IMU_Acc_x': -0.42, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12350, 'Left_wheel_dist': -65, 'Right_wheel_dist': -61, 'IMU_roll': -0.01, 'IMU_pitch': -0.05, 'IMU_yaw': 6.14, 'IMU_Acc_x': -0.50, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.63, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 12449, 'Left_wheel_dist': -91, 'Right_wheel_dist': -89, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 6.14, 'IMU_Acc_x': -0.45, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.97, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 12549, 'Left_wheel_dist': -122, 'Right_wheel_dist': -124, 'IMU_roll': 0.00, 'IMU_pitch': -0.04, 'IMU_yaw': 6.16, 'IMU_Acc_x': -0.21, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.74, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12649, 'Left_wheel_dist': -159, 'Right_wheel_dist': -161, 'IMU_roll': -0.00, 'IMU_pitch': -0.03, 'IMU_yaw': 6.16, 'IMU_Acc_x': -0.20, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.69, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 12748, 'Left_wheel_dist': -194, 'Right_wheel_dist': -196, 'IMU_roll': 0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 6.18, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.85, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 12848, 'Left_wheel_dist': -233, 'Right_wheel_dist': -233, 'IMU_roll': 0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 6.19, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.83, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12947, 'Left_wheel_dist': -272, 'Right_wheel_dist': -266, 'IMU_roll': 0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 6.20, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': -0.42, 'IMU_Acc_z': 9.57, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13046, 'Left_wheel_dist': -311, 'Right_wheel_dist': -303, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 6.21, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': -0.63, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13146, 'Left_wheel_dist': -355, 'Right_wheel_dist': -335, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 6.21, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 10.04, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 13245, 'Left_wheel_dist': -392, 'Right_wheel_dist': -368, 'IMU_roll': 0.06, 'IMU_pitch': 0.03, 'IMU_yaw': 6.21, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.95, 'IMU_Acc_z': 9.64, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13352, 'Left_wheel_dist': -423, 'Right_wheel_dist': -403, 'IMU_roll': 0.08, 'IMU_pitch': -0.05, 'IMU_yaw': 6.22, 'IMU_Acc_x': -1.03, 'IMU_Acc_y': 0.60, 'IMU_Acc_z': 7.96, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 13451, 'Left_wheel_dist': -447, 'Right_wheel_dist': -449, 'IMU_roll': 0.07, 'IMU_pitch': -0.00, 'IMU_yaw': 6.26, 'IMU_Acc_x': 0.93, 'IMU_Acc_y': 0.50, 'IMU_Acc_z': 11.22, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13550, 'Left_wheel_dist': -475, 'Right_wheel_dist': -501, 'IMU_roll': 0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 0.02, 'IMU_Acc_x': -0.41, 'IMU_Acc_y': -0.29, 'IMU_Acc_z': 9.71, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13649, 'Left_wheel_dist': -505, 'Right_wheel_dist': -556, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 10.06, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13748, 'Left_wheel_dist': -540, 'Right_wheel_dist': -601, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.75, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13847, 'Left_wheel_dist': -573, 'Right_wheel_dist': -643, 'IMU_roll': -0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.44, 'IMU_Acc_z': 9.74, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13947, 'Left_wheel_dist': -606, 'Right_wheel_dist': -678, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.14, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.75, 'IMU_Acc_z': 9.75, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14046, 'Left_wheel_dist': -638, 'Right_wheel_dist': -710, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.15, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.75, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14146, 'Left_wheel_dist': -669, 'Right_wheel_dist': -737, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.16, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.33, 'IMU_Acc_z': 9.81, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14245, 'Left_wheel_dist': -697, 'Right_wheel_dist': -761, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 0.15, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.73, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14352, 'Left_wheel_dist': -732, 'Right_wheel_dist': -789, 'IMU_roll': 0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.14, 'IMU_Acc_x': -0.11, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.82, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 14451, 'Left_wheel_dist': -763, 'Right_wheel_dist': -824, 'IMU_roll': 0.03, 'IMU_pitch': -0.03, 'IMU_yaw': 0.14, 'IMU_Acc_x': -0.35, 'IMU_Acc_y': 0.60, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14551, 'Left_wheel_dist': -800, 'Right_wheel_dist': -861, 'IMU_roll': 0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 0.14, 'IMU_Acc_x': -0.16, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.81, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 14649, 'Left_wheel_dist': -841, 'Right_wheel_dist': -900, 'IMU_roll': -0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 0.14, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.56, 'IMU_Acc_z': 9.76, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14748, 'Left_wheel_dist': -876, 'Right_wheel_dist': -939, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.14, 'IMU_Acc_x': -0.25, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.68, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14848, 'Left_wheel_dist': -913, 'Right_wheel_dist': -976, 'IMU_roll': -0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 0.14, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 14946, 'Left_wheel_dist': -950, 'Right_wheel_dist': -1011, 'IMU_roll': 0.00, 'IMU_pitch': -0.03, 'IMU_yaw': 0.14, 'IMU_Acc_x': -0.10, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.95, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15053, 'Left_wheel_dist': -989, 'Right_wheel_dist': -1053, 'IMU_roll': -0.01, 'IMU_pitch': -0.03, 'IMU_yaw': 0.14, 'IMU_Acc_x': -0.29, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.90, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 15153, 'Left_wheel_dist': -1031, 'Right_wheel_dist': -1096, 'IMU_roll': -0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 0.14, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.83, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 15252, 'Left_wheel_dist': -1068, 'Right_wheel_dist': -1142, 'IMU_roll': -0.01, 'IMU_pitch': -0.03, 'IMU_yaw': 0.15, 'IMU_Acc_x': -0.28, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.83, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15351, 'Left_wheel_dist': -1112, 'Right_wheel_dist': -1188, 'IMU_roll': -0.01, 'IMU_pitch': -0.04, 'IMU_yaw': 0.15, 'IMU_Acc_x': -0.37, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.74, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15451, 'Left_wheel_dist': -1153, 'Right_wheel_dist': -1232, 'IMU_roll': -0.01, 'IMU_pitch': -0.03, 'IMU_yaw': 0.16, 'IMU_Acc_x': -0.16, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.82, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 15549, 'Left_wheel_dist': -1199, 'Right_wheel_dist': -1284, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 0.17, 'IMU_Acc_x': -0.23, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15647, 'Left_wheel_dist': -1245, 'Right_wheel_dist': -1336, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 0.18, 'IMU_Acc_x': -0.20, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.59, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15753, 'Left_wheel_dist': -1290, 'Right_wheel_dist': -1386, 'IMU_roll': -0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 0.19, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.64, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 15852, 'Left_wheel_dist': -1341, 'Right_wheel_dist': -1428, 'IMU_roll': -0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 0.18, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15951, 'Left_wheel_dist': -1386, 'Right_wheel_dist': -1474, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 0.18, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.67, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 16051, 'Left_wheel_dist': -1436, 'Right_wheel_dist': -1522, 'IMU_roll': -0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 0.17, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.76, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 16149, 'Left_wheel_dist': -1480, 'Right_wheel_dist': -1565, 'IMU_roll': -0.03, 'IMU_pitch': -0.02, 'IMU_yaw': 0.17, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.59, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 16248, 'Left_wheel_dist': -1526, 'Right_wheel_dist': -1607, 'IMU_roll': -0.06, 'IMU_pitch': -0.01, 'IMU_yaw': 0.17, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.73, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 16348, 'Left_wheel_dist': -1570, 'Right_wheel_dist': -1650, 'IMU_roll': -0.08, 'IMU_pitch': -0.02, 'IMU_yaw': 0.15, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.69, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 16448, 'Left_wheel_dist': -1617, 'Right_wheel_dist': -1696, 'IMU_roll': -0.09, 'IMU_pitch': -0.01, 'IMU_yaw': 0.11, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.83, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 16548, 'Left_wheel_dist': -1661, 'Right_wheel_dist': -1742, 'IMU_roll': -0.07, 'IMU_pitch': -0.05, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 10.14, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 16648, 'Left_wheel_dist': -1707, 'Right_wheel_dist': -1781, 'IMU_roll': -0.08, 'IMU_pitch': -0.08, 'IMU_yaw': 0.07, 'IMU_Acc_x': -0.53, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 10.34, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 16755, 'Left_wheel_dist': -1759, 'Right_wheel_dist': -1825, 'IMU_roll': -0.09, 'IMU_pitch': -0.11, 'IMU_yaw': 0.02, 'IMU_Acc_x': -0.44, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.38, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 16855, 'Left_wheel_dist': -1807, 'Right_wheel_dist': -1868, 'IMU_roll': -0.12, 'IMU_pitch': -0.09, 'IMU_yaw': 6.25, 'IMU_Acc_x': 0.08, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.48, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 16953, 'Left_wheel_dist': -1855, 'Right_wheel_dist': -1914, 'IMU_roll': -0.14, 'IMU_pitch': -0.11, 'IMU_yaw': 6.19, 'IMU_Acc_x': -0.11, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.07, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 17052, 'Left_wheel_dist': -1903, 'Right_wheel_dist': -1955, 'IMU_roll': -0.15, 'IMU_pitch': -0.11, 'IMU_yaw': 6.10, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.92, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 17152, 'Left_wheel_dist': -1949, 'Right_wheel_dist': -1997, 'IMU_roll': -0.14, 'IMU_pitch': -0.14, 'IMU_yaw': 6.00, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.44, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 17250, 'Left_wheel_dist': -1993, 'Right_wheel_dist': -2036, 'IMU_roll': -0.13, 'IMU_pitch': -0.14, 'IMU_yaw': 5.90, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.98, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 17349, 'Left_wheel_dist': -2036, 'Right_wheel_dist': -2080, 'IMU_roll': -0.13, 'IMU_pitch': -0.13, 'IMU_yaw': 5.79, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.16, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 17449, 'Left_wheel_dist': -2080, 'Right_wheel_dist': -2121, 'IMU_roll': -0.11, 'IMU_pitch': -0.12, 'IMU_yaw': 5.69, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.85, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 17548, 'Left_wheel_dist': -2126, 'Right_wheel_dist': -2160, 'IMU_roll': -0.08, 'IMU_pitch': -0.12, 'IMU_yaw': 5.60, 'IMU_Acc_x': -0.41, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.52, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 17654, 'Left_wheel_dist': -2176, 'Right_wheel_dist': -2204, 'IMU_roll': -0.04, 'IMU_pitch': -0.09, 'IMU_yaw': 5.55, 'IMU_Acc_x': -0.22, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.90, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 17753, 'Left_wheel_dist': -2226, 'Right_wheel_dist': -2245, 'IMU_roll': -0.03, 'IMU_pitch': -0.07, 'IMU_yaw': 5.54, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 10.13, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 17850, 'Left_wheel_dist': -2269, 'Right_wheel_dist': -2289, 'IMU_roll': -0.01, 'IMU_pitch': -0.06, 'IMU_yaw': 5.52, 'IMU_Acc_x': -0.45, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.43, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 17949, 'Left_wheel_dist': -2320, 'Right_wheel_dist': -2333, 'IMU_roll': -0.01, 'IMU_pitch': -0.07, 'IMU_yaw': 5.52, 'IMU_Acc_x': -0.67, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.63, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 18056, 'Left_wheel_dist': -2374, 'Right_wheel_dist': -2378, 'IMU_roll': -0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 5.54, 'IMU_Acc_x': -0.22, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 10}
