Tue Aug  4 14:59:42 2020
Program 4: 60s Stillstand
{'Time': 9646, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 2.85, 'IMU_Acc_x': -0.22, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 1135}
{'Time': 10755, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 2.86, 'IMU_Acc_x': -0.20, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.80, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 10849, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 2.88, 'IMU_Acc_x': -0.25, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10953, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 2.86, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 11051, 'Left_wheel_dist': 0, 'Right_wheel_dist': 2, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 2.87, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.82, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 11149, 'Left_wheel_dist': 4, 'Right_wheel_dist': 6, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 2.88, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 11254, 'Left_wheel_dist': 13, 'Right_wheel_dist': 13, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 2.91, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 11353, 'Left_wheel_dist': 23, 'Right_wheel_dist': 23, 'IMU_roll': -0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 2.87, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 11453, 'Left_wheel_dist': 37, 'Right_wheel_dist': 37, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 2.89, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.83, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 11552, 'Left_wheel_dist': 50, 'Right_wheel_dist': 50, 'IMU_roll': 0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 2.89, 'IMU_Acc_x': -0.11, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.73, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 11652, 'Left_wheel_dist': 65, 'Right_wheel_dist': 65, 'IMU_roll': -0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 2.88, 'IMU_Acc_x': -0.10, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.80, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 11750, 'Left_wheel_dist': 78, 'Right_wheel_dist': 82, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 2.88, 'IMU_Acc_x': -0.17, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.71, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 11857, 'Left_wheel_dist': 93, 'Right_wheel_dist': 102, 'IMU_roll': -0.03, 'IMU_pitch': -0.02, 'IMU_yaw': 2.91, 'IMU_Acc_x': -0.22, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.71, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 11956, 'Left_wheel_dist': 106, 'Right_wheel_dist': 119, 'IMU_roll': 0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 2.91, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.85, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 12055, 'Left_wheel_dist': 119, 'Right_wheel_dist': 137, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 2.94, 'IMU_Acc_x': -0.20, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.71, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 12154, 'Left_wheel_dist': 135, 'Right_wheel_dist': 157, 'IMU_roll': -0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 2.97, 'IMU_Acc_x': 0.13, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.91, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 12254, 'Left_wheel_dist': 152, 'Right_wheel_dist': 176, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 2.99, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12353, 'Left_wheel_dist': 176, 'Right_wheel_dist': 198, 'IMU_roll': -0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 2.99, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.85, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12452, 'Left_wheel_dist': 204, 'Right_wheel_dist': 228, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.02, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.85, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 12552, 'Left_wheel_dist': 235, 'Right_wheel_dist': 255, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 3.05, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.75, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12651, 'Left_wheel_dist': 272, 'Right_wheel_dist': 283, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 3.06, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.73, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 12759, 'Left_wheel_dist': 309, 'Right_wheel_dist': 316, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 3.08, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': -0.37, 'IMU_Acc_z': 9.76, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 12851, 'Left_wheel_dist': 340, 'Right_wheel_dist': 344, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 3.11, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.95, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12958, 'Left_wheel_dist': 379, 'Right_wheel_dist': 381, 'IMU_roll': -0.03, 'IMU_pitch': 0.00, 'IMU_yaw': 3.16, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 13058, 'Left_wheel_dist': 412, 'Right_wheel_dist': 416, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 3.19, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.72, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 13156, 'Left_wheel_dist': 449, 'Right_wheel_dist': 449, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.20, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 8.19, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13255, 'Left_wheel_dist': 488, 'Right_wheel_dist': 484, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.23, 'IMU_Acc_x': 0.84, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 11.15, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13355, 'Left_wheel_dist': 523, 'Right_wheel_dist': 518, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 3.25, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.47, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 13453, 'Left_wheel_dist': 564, 'Right_wheel_dist': 558, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 3.26, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 10.12, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13552, 'Left_wheel_dist': 601, 'Right_wheel_dist': 601, 'IMU_roll': -0.04, 'IMU_pitch': 0.01, 'IMU_yaw': 3.27, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.74, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13651, 'Left_wheel_dist': 638, 'Right_wheel_dist': 641, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 3.27, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.85, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13759, 'Left_wheel_dist': 682, 'Right_wheel_dist': 684, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.26, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.76, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 13858, 'Left_wheel_dist': 719, 'Right_wheel_dist': 723, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 3.26, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.69, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 13958, 'Left_wheel_dist': 761, 'Right_wheel_dist': 767, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.25, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.80, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 14057, 'Left_wheel_dist': 800, 'Right_wheel_dist': 811, 'IMU_roll': 0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 3.22, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.75, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14156, 'Left_wheel_dist': 843, 'Right_wheel_dist': 848, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.21, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.80, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14256, 'Left_wheel_dist': 885, 'Right_wheel_dist': 887, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 3.20, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.91, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 14356, 'Left_wheel_dist': 926, 'Right_wheel_dist': 928, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 3.20, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14455, 'Left_wheel_dist': 972, 'Right_wheel_dist': 972, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 3.17, 'IMU_Acc_x': 0.13, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.94, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14555, 'Left_wheel_dist': 1013, 'Right_wheel_dist': 1018, 'IMU_roll': -0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 3.16, 'IMU_Acc_x': -0.11, 'IMU_Acc_y': -0.42, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 14654, 'Left_wheel_dist': 1057, 'Right_wheel_dist': 1057, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 3.15, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14753, 'Left_wheel_dist': 1096, 'Right_wheel_dist': 1096, 'IMU_roll': 0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 3.14, 'IMU_Acc_x': -0.21, 'IMU_Acc_y': -0.39, 'IMU_Acc_z': 9.82, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14853, 'Left_wheel_dist': 1138, 'Right_wheel_dist': 1136, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 3.14, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.74, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 14953, 'Left_wheel_dist': 1179, 'Right_wheel_dist': 1179, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.12, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.82, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15053, 'Left_wheel_dist': 1216, 'Right_wheel_dist': 1221, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.12, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15153, 'Left_wheel_dist': 1256, 'Right_wheel_dist': 1258, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 3.09, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.68, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 15259, 'Left_wheel_dist': 1295, 'Right_wheel_dist': 1299, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.08, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 15360, 'Left_wheel_dist': 1336, 'Right_wheel_dist': 1343, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 3.07, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.84, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 15458, 'Left_wheel_dist': 1375, 'Right_wheel_dist': 1389, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.03, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15557, 'Left_wheel_dist': 1417, 'Right_wheel_dist': 1430, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 3.02, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15656, 'Left_wheel_dist': 1460, 'Right_wheel_dist': 1471, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.00, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.86, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15755, 'Left_wheel_dist': 1500, 'Right_wheel_dist': 1515, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 2.98, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15854, 'Left_wheel_dist': 1546, 'Right_wheel_dist': 1565, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 2.96, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.73, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15953, 'Left_wheel_dist': 1589, 'Right_wheel_dist': 1611, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 2.93, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.93, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 16053, 'Left_wheel_dist': 1635, 'Right_wheel_dist': 1655, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 2.90, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.67, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 16160, 'Left_wheel_dist': 1681, 'Right_wheel_dist': 1703, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 2.86, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 16260, 'Left_wheel_dist': 1727, 'Right_wheel_dist': 1753, 'IMU_roll': 0.00, 'IMU_pitch': 0.07, 'IMU_yaw': 2.84, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.05, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 16358, 'Left_wheel_dist': 1772, 'Right_wheel_dist': 1803, 'IMU_roll': 0.06, 'IMU_pitch': 0.07, 'IMU_yaw': 2.80, 'IMU_Acc_x': -0.25, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 10.67, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 16456, 'Left_wheel_dist': 1814, 'Right_wheel_dist': 1846, 'IMU_roll': 0.07, 'IMU_pitch': 0.06, 'IMU_yaw': 2.75, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': 0.42, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 16555, 'Left_wheel_dist': 1860, 'Right_wheel_dist': 1892, 'IMU_roll': 0.07, 'IMU_pitch': 0.10, 'IMU_yaw': 2.69, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.93, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 16661, 'Left_wheel_dist': 1905, 'Right_wheel_dist': 1947, 'IMU_roll': 0.07, 'IMU_pitch': 0.12, 'IMU_yaw': 2.61, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.61, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 16759, 'Left_wheel_dist': 1951, 'Right_wheel_dist': 1995, 'IMU_roll': 0.08, 'IMU_pitch': 0.11, 'IMU_yaw': 2.54, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 16858, 'Left_wheel_dist': 1995, 'Right_wheel_dist': 2036, 'IMU_roll': 0.07, 'IMU_pitch': 0.14, 'IMU_yaw': 2.46, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 10.01, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 16955, 'Left_wheel_dist': 2040, 'Right_wheel_dist': 2082, 'IMU_roll': 0.08, 'IMU_pitch': 0.15, 'IMU_yaw': 2.38, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': 0.25, 'IMU_Acc_z': 9.93, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 17054, 'Left_wheel_dist': 2084, 'Right_wheel_dist': 2130, 'IMU_roll': 0.07, 'IMU_pitch': 0.15, 'IMU_yaw': 2.30, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.83, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 17160, 'Left_wheel_dist': 2136, 'Right_wheel_dist': 2184, 'IMU_roll': 0.07, 'IMU_pitch': 0.14, 'IMU_yaw': 2.22, 'IMU_Acc_x': 0.13, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.73, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 17258, 'Left_wheel_dist': 2182, 'Right_wheel_dist': 2228, 'IMU_roll': 0.05, 'IMU_pitch': 0.13, 'IMU_yaw': 2.16, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.95, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 17356, 'Left_wheel_dist': 2230, 'Right_wheel_dist': 2274, 'IMU_roll': 0.03, 'IMU_pitch': 0.10, 'IMU_yaw': 2.10, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 10.18, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 17455, 'Left_wheel_dist': 2272, 'Right_wheel_dist': 2317, 'IMU_roll': 0.03, 'IMU_pitch': 0.07, 'IMU_yaw': 2.05, 'IMU_Acc_x': -0.24, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.81, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 17561, 'Left_wheel_dist': 2322, 'Right_wheel_dist': 2370, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 2.04, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.85, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 17660, 'Left_wheel_dist': 2368, 'Right_wheel_dist': 2413, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 2.09, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.65, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 17758, 'Left_wheel_dist': 2413, 'Right_wheel_dist': 2457, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 2.14, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.51, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 17857, 'Left_wheel_dist': 2459, 'Right_wheel_dist': 2503, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 2.22, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 10.27, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 17957, 'Left_wheel_dist': 2505, 'Right_wheel_dist': 2553, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 2.33, 'IMU_Acc_x': -0.24, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.98, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 18056, 'Left_wheel_dist': 2551, 'Right_wheel_dist': 2599, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 2.42, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.62, 'Loop_dt': 18, 'Acc_Accu': 9}
